name,stars,age_in_years,releases,primary_language,url
hdodenhof/CircleImageView,14547,11.19,0,Java,https://github.com/hdodenhof/CircleImageView
apache/pulsar,14509,8.75,102,Java,https://github.com/apache/pulsar
Tencent/QMUI_Android,14476,7.93,35,Java,https://github.com/Tencent/QMUI_Android
alibaba/ARouter,14473,8.28,16,Java,https://github.com/alibaba/ARouter
eclipse-vertx/vert.x,14442,13.78,0,Java,https://github.com/eclipse-vertx/vert.x
elastic/logstash,14396,14.36,177,Java,https://github.com/elastic/logstash
java-decompiler/jd-gui,14392,10.01,18,Java,https://github.com/java-decompiler/jd-gui
arduino/Arduino,14289,14.53,37,Java,https://github.com/arduino/Arduino
quarkusio/quarkus,14248,6.73,370,Java,https://github.com/quarkusio/quarkus
neo4j/neo4j,14005,12.37,72,Java,https://github.com/neo4j/neo4j
supertokens/supertokens-core,13984,5.22,83,Java,https://github.com/supertokens/supertokens-core
deeplearning4j/deeplearning4j,13891,11.33,0,Java,https://github.com/deeplearning4j/deeplearning4j
orhanobut/logger,13849,10.02,16,Java,https://github.com/orhanobut/logger
GoogleContainerTools/jib,13846,7.18,167,Java,https://github.com/GoogleContainerTools/jib
theonedev/onedev,13794,6.39,391,Java,https://github.com/theonedev/onedev
Netflix/zuul,13663,12.04,15,Java,https://github.com/Netflix/zuul
apache/druid,13649,12.43,66,Java,https://github.com/apache/druid
Curzibn/Luban,13630,8.68,6,Java,https://github.com/Curzibn/Luban
seaswalker/spring-analysis,13610,8.55,0,Java,https://github.com/seaswalker/spring-analysis
JessYanCoding/AndroidAutoSize,13595,6.61,14,Java,https://github.com/JessYanCoding/AndroidAutoSize
pinpoint-apm/pinpoint,13554,10.44,60,Java,https://github.com/pinpoint-apm/pinpoint
tink-crypto/tink,13526,10.81,21,Java,https://github.com/tink-crypto/tink
lgvalle/Material-Animations,13515,10.06,0,Java,https://github.com/lgvalle/Material-Animations
Bigkoo/Android-PickerView,13472,10.25,0,Java,https://github.com/Bigkoo/Android-PickerView
sqshq/piggymetrics,13432,10.00,2,Java,https://github.com/sqshq/piggymetrics
LuckSiege/PictureSelector,13412,8.23,116,Java,https://github.com/LuckSiege/PictureSelector
apache/doris,13378,7.63,64,Java,https://github.com/apache/doris
