name,stars,age_in_years,releases,primary_language,url
eclipse-vertx/vert.x,14425,13.76,0,Java,https://github.com/eclipse-vertx/vert.x
elastic/logstash,14379,14.34,174,Java,https://github.com/elastic/logstash
java-decompiler/jd-gui,14372,9.99,18,Java,https://github.com/java-decompiler/jd-gui
arduino/Arduino,14277,14.50,37,Java,https://github.com/arduino/Arduino
quarkusio/quarkus,14218,6.70,368,Java,https://github.com/quarkusio/quarkus
neo4j/neo4j,13960,12.35,72,Java,https://github.com/neo4j/neo4j
supertokens/supertokens-core,13933,5.20,82,Java,https://github.com/supertokens/supertokens-core
deeplearning4j/deeplearning4j,13859,11.31,0,Java,https://github.com/deeplearning4j/deeplearning4j
orhanobut/logger,13848,10.00,16,Java,https://github.com/orhanobut/logger
GoogleContainerTools/jib,13828,7.15,164,Java,https://github.com/GoogleContainerTools/jib
theonedev/onedev,13773,6.36,390,Java,https://github.com/theonedev/onedev
Netflix/zuul,13647,12.02,15,Java,https://github.com/Netflix/zuul
apache/druid,13638,12.40,64,Java,https://github.com/apache/druid
Curzibn/Luban,13627,8.65,6,Java,https://github.com/Curzibn/Luban
seaswalker/spring-analysis,13605,8.52,0,Java,https://github.com/seaswalker/spring-analysis
JessYanCoding/AndroidAutoSize,13585,6.59,14,Java,https://github.com/JessYanCoding/AndroidAutoSize
pinpoint-apm/pinpoint,13541,10.41,59,Java,https://github.com/pinpoint-apm/pinpoint
tink-crypto/tink,13521,10.78,21,Java,https://github.com/tink-crypto/tink
lgvalle/Material-Animations,13512,10.03,0,Java,https://github.com/lgvalle/Material-Animations
Bigkoo/Android-PickerView,13470,10.22,0,Java,https://github.com/Bigkoo/Android-PickerView
sqshq/piggymetrics,13410,9.97,2,Java,https://github.com/sqshq/piggymetrics
LuckSiege/PictureSelector,13403,8.20,116,Java,https://github.com/LuckSiege/PictureSelector
apache/doris,13326,7.60,64,Java,https://github.com/apache/doris
apache/dolphinscheduler,13321,6.05,52,Java,https://github.com/apache/dolphinscheduler
zaproxy/zaproxy,13315,9.79,9,Java,https://github.com/zaproxy/zaproxy
janishar/mit-deep-learning-book-pdf,13202,7.95,3,Java,https://github.com/janishar/mit-deep-learning-book-pdf
DuGuQiuBai/Java,13192,9.31,0,Java,https://github.com/DuGuQiuBai/Java
macrozheng/mall-learning,13085,5.93,0,Java,https://github.com/macrozheng/mall-learning
projectlombok/lombok,13063,15.78,0,Java,https://github.com/projectlombok/lombok
youth5201314/banner,12969,8.91,0,Java,https://github.com/youth5201314/banner
languagetool-org/languagetool,12881,11.61,0,Java,https://github.com/languagetool-org/languagetool
Netflix/conductor,12791,8.28,319,Java,https://github.com/Netflix/conductor
facebook/stetho,12693,10.15,13,Java,https://github.com/facebook/stetho
greenrobot/greenDAO,12624,13.41,8,Java,https://github.com/greenrobot/greenDAO
pxb1988/dex2jar,12585,10.01,8,Java,https://github.com/pxb1988/dex2jar
google/guice,12579,10.81,19,Java,https://github.com/google/guice
zhihu/Matisse,12547,7.93,15,Java,https://github.com/zhihu/Matisse
cryptomator/cryptomator,12528,11.13,183,Java,https://github.com/cryptomator/cryptomator
Netflix/eureka,12504,12.65,150,Java,https://github.com/Netflix/eureka
codecentric/spring-boot-admin,12497,10.65,131,Java,https://github.com/codecentric/spring-boot-admin
daimajia/AndroidViewAnimations,12453,10.74,9,Java,https://github.com/daimajia/AndroidViewAnimations
apache/zookeeper,12409,15.98,0,Java,https://github.com/apache/zookeeper
daimajia/AndroidSwipeLayout,12399,10.57,18,Java,https://github.com/daimajia/AndroidSwipeLayout
alibaba/COLA,12281,7.11,11,Java,https://github.com/alibaba/COLA
pagehelper/Mybatis-PageHelper,12281,10.78,14,Java,https://github.com/pagehelper/Mybatis-PageHelper
macrozheng/mall-swarm,12188,5.31,3,Java,https://github.com/macrozheng/mall-swarm
redis/jedis,11990,14.77,109,Java,https://github.com/redis/jedis
Yalantis/uCrop,11958,9.20,18,Java,https://github.com/Yalantis/uCrop
metersphere/metersphere,11897,5.12,175,Java,https://github.com/metersphere/metersphere
Tencent/VasSonic,11848,7.63,10,Java,https://github.com/Tencent/VasSonic
Tencent/matrix,11761,6.27,16,Java,https://github.com/Tencent/matrix
amitshekhariitbhu/android-interview-questions,11717,7.69,0,Java,https://github.com/amitshekhariitbhu/android-interview-questions
grpc/grpc-java,11642,10.28,176,Java,https://github.com/grpc/grpc-java
frank-lam/fullstack-tutorial,11626,6.93,0,Java,https://github.com/frank-lam/fullstack-tutorial
code4craft/webmagic,11517,11.91,33,Java,https://github.com/code4craft/webmagic
realm/realm-java,11485,12.91,0,Java,https://github.com/realm/realm-java
careercup/CtCI-6th-Edition,11402,9.71,0,Java,https://github.com/careercup/CtCI-6th-Edition
gyf-dev/ImmersionBar,11375,7.91,0,Java,https://github.com/gyf-dev/ImmersionBar
kekingcn/kkFileView,11265,7.26,16,Java,https://github.com/kekingcn/kkFileView
newbee-ltd/newbee-mall,11265,5.49,0,Java,https://github.com/newbee-ltd/newbee-mall
Team-xManager/xManager,11255,4.10,50,Java,https://github.com/Team-xManager/xManager
permissions-dispatcher/PermissionsDispatcher,11228,9.59,40,Java,https://github.com/permissions-dispatcher/PermissionsDispatcher
OpenRefine/OpenRefine,11188,12.43,68,Java,https://github.com/OpenRefine/OpenRefine
debezium/debezium,11182,9.15,0,Java,https://github.com/debezium/debezium
